26,Blake Griffin,26,LAC,1 yr/$20.1M  $21.4M ETO 2017,20140839,20140839,21373952,,,,,,,,,,2,,TRUE,,,FALSE,TRUE,,,,Sam Goldfeder,Excel Sports Management,,$124.4M
27,Chris Paul,27,LAC,1 yr$22.9M  $24.3M ETO 2017,22868827,22868827,24268959,,,,,,,,,,2,,TRUE,,,FALSE,TRUE,,,,Leon Rose,CAA Sports,,$215.8M
28,BRK 2018 1st,28,BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,DeMarcus Cousins,29,NOP,2 yrs/$35M,16957900,16957900,18063850,18063850,,,,,,,,,,,TRUE,,,FALSE,TRUE,,,,Dan Fegan & Jarinn Akana,Independent Sports & Entertainment (ISE),,$169.1M
30,DeAndre Jordan,30,LAC,2 yrs/$43.8M  $24.1M PO 2018,21165675,21165675,22642350,22642350,24119025,,,,,,3,,,,TRUE,,,FALSE,TRUE,,,,Sam Goldfeder,Excel Sports Management,,$189.3M
31,Gordon Hayward,31,UTH,1 yr$16.1M  $16.7M PO 2017,16073140,16073140,16736710,,,,,,,,,,,,TRUE,,,FALSE,TRUE,,,,Mark Bartelstein,Priority Sports & Entertainment,,$155M
32,Andre Drummond,32,DET,4 yrs/$98.4M  $28.8M PO 2020,22116750,22116750,23775506,23775506,25434263,25434263,27093019,27093019,28751775,,5,,,,TRUE,,,FALSE,TRUE,,,,Jeff Schwartz,Excel Sports Management,,$109.4M
33,SAC 2018 1st,33,SAC,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Marc Gasol,34,MEM,3 yrs/$67.9M  $25.6M PO 2019,21165675,21165675,22642350,22642350,24119025,24119025,25595700,,,,4,,,,TRUE,FALSE,FALSE,FALSE,TRUE,,,,Jason Ranne,Wasserman Media Group,,$60.8M
35,Andrew Wiggins,35,MIN,Rookie contract  $9.8M QO 2018,6006600,6006600,7574323,,9846619,,,,,,,2,,3,TRUE,,,TRUE,FALSE,,,,Bill Duffy,BDA Sports Management,,$91.8M
36,Brandon Ingram,36,LAL,Rookie contract  $9.5M QO 2020,5281680,5281680,5519400,5519400,5757120,,7265485,,9481458,,,8,,5,TRUE,,,TRUE,FALSE,,,,Jeff Schwartz,Excel Sports Management,,$92.4M
37,C.J. McCollum,37,POR,5 yrs/$109.2M (4 yr/$106.6M ext),3219579,3219579,,,,,,,,,,,,,TRUE,,,FALSE,TRUE,,,,Sam Goldfeder,Excel Sports Management,,$67.4M
38,LAL 2017 1st (4-30  else 2018),38,PHL,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,LAL 2017 1st (1-3  else to PHL),39,LAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Isaiah Thomas,40,BOS,2 yrs/$12.8M,6587132,6587132,6261395,6261395,,,,,,,,,,,TRUE,,,FALSE,TRUE,,,,Sam Goldfeder,Excel Sports Management,,$98.2M
41,Steven Adams,41,OKC,5 yrs/$103.1M (4 yr/$100M ext),3140517,3140517,22471910,22471910,24157303,24157303,25842697,25842697,27528090,27528090,,,,2,TRUE,,,TRUE,FALSE,,,,Darren Matsubara,Wasserman Media Group,,$116M
42,Kemba Walker,42,CHA,3 yrs/$36M,12000000,12000000,12000000,12000000,12000000,12000000,,,,,,,,,TRUE,,,FALSE,TRUE,,,,Jeff Schwartz,Excel Sports Management,,$167.4M
43,LaMarcus Aldridge,43,SAS,2 yrs/$42M  $22.3M PO 2018,20575005,20575005,21461010,21461010,22347015,,,,,,3,,,,TRUE,,,FALSE,TRUE,,,,Jeff Schwartz,Excel Sports Management,,$44.1M
